"","Distance","Rsquare","Number"
"1",10,0.44196017016394,193
"2",20,0.447335514915073,152
"3",30,0.399866969460407,211
"4",40,0.469784453050872,536
"5",50,0.492641723992673,342
"6",60,0.457318633257058,297
"7",70,0.44807351072966,298
"8",80,0.426075177231386,236
"9",90,0.435161838431999,204
"10",100,0.460291247383089,213
"11",200,0.432386657805977,1644
"12",300,0.418821729277987,990
"13",400,0.409958773754536,619
"14",500,0.425757226845301,464
"15",600,0.41261028671289,349
"16",700,0.399862103278366,268
"17",800,0.359275419908915,229
"18",900,0.447258610729906,163
"19",1000,0.399814829762506,155
"20",1100,0.397256192302368,105
"21",1200,0.308035592851627,112
"22",1300,0.370286175962684,88
"23",1400,0.314249670081292,91
"24",1500,0.327522160557115,73
"25",1600,0.490285462485319,57
"26",1700,0.3634808933035,59
"27",1800,0.387774079106119,55
"28",1900,0.404611036580212,49
"29",2000,0.340513454667005,39
"30",2100,0.286592441332408,34
"31",2200,0.512633442560794,35
"32",2300,0.295251777195231,33
"33",2400,0.332536118650655,36
"34",2687.25,0.309834835421342,80
"35",2887.25,0.309060773806306,43
"36",3087.25,0.351987091186489,54
"37",3287.25,0.284393208152679,31
"38",3816.33333333333,0.286761955488908,55
"39",4316.33333333333,0.28971409493051,40
"40",4816.33333333333,0.368651985239204,33
"41",5974.5,0.435159425367788,53
"42",6974.5,0.284705655969208,48
"43",7974.5,0.279429610037667,45
"44",8974.5,0.339159132928361,37
